WEAPON: 3030 | PATTERN: [[0, 4, 0.14]] 

WEAPON: Alternator | PATTERN: [[0, 3, 0.0177], [0, 1, 0.0177], [0, 1, 0.0177], [0, 1, 0.0177], [4, 1, 0.0177], [1, 1, 0.0177], [-2, 1, 0.0177], [2, 1, 0.0177], [0, 1, 0.0177], [-1, 1, 0.0177], [-1, 1, 0.0177], [2, 1, 0.0177], [-2, 1, 0.0177], [2, 0, 0.0177], [-1, 1, 0.0177], [-1, 1, 0.0177], [2, 1, 0.0177], [3, 1, 0.0177], [0, 1, 0.0177], [1, 1, 0.0177], [1, 1, 0.0177], [0, 1, 0.0177], [0, 1, 0.0177], [0, 2, 0.0177], [-1, 0, 0.0177], [-1, 2, 0.0177], [2, 0, 0.0177], [-1, 1, 0.0177], [0, 7, 0.0177], [3, 4, 0.0177], [2, 3, 0.0177], [0, 3, 0.0177], [1, 1, 0.0177], [0, 2, 0.0177], [-2, 1, 0.0177], [1, 4, 0.0177], [0, 3, 0.0177], [-2, 4, 0.0177], [2, 0, 0.0177], [-1, 2, 0.0177], [0, 0, 0.0177], [2, 3, 0.0177], [2, 3, 0.0177], [0, 2, 0.0177], [1, 1, 0.0177], [0, 1, 0.0177], [-2, 2, 0.0177], [0, 0, 0.0177], [-1, 0, 0.0177], [-2, 1, 0.0177], [0, 0, 0.0177], [-1, 1, 0.0177], [1, -1, 0.0177], [3, -1, 0.0177], [1, 2, 0.0177], [1, 2, 0.0177], [1, -1, 0.0177], [0, -1, 0.0177], [-1, 1, 0.0177], [-3, 3, 0.0177], [-2, -1, 0.0177], [-1, -1, 0.0177], [0, 0, 0.0177], [0, 0, 0.0177], [1, 1, 0.0177], [2, 0, 0.0177], [1, 1, 0.0177], [0, 1, 0.0177], [2, 0, 0.0177], [-1, 1, 0.0177], [0, 0, 0.0177], [-4, 1, 0.0177], [-2, 0, 0.0177], [-2, 1, 0.0177], [1, -1, 0.0177], [0, 0, 0.0177], [-1, 1, 0.0177], [2, 2, 0.0177], [1, 1, 0.0177], [0, 2, 0.0177], [1, 0, 0.0177], [0, 1, 0.0177], [-1, 1, 0.0177], [-2, 1, 0.0177], [-1, 0, 0.0177], [-1, 1, 0.0177], [1, -1, 0.0177], [-1, 1, 0.0177], [1, 3, 0.0177], [2, 0, 0.0177], [1, 0, 0.0177], [0, 0, 0.0177], [2, -1, 0.0177], [-2, 2, 0.0177], [1, 0, 0.0177], [-1, 0, 0.0177], [0, 1, 0.0177], [-1, 1, 0.0177], [0, 0, 0.0177], [-1, 1, 0.0177], [1, 2, 0.0177], [2, 0, 0.0177], [2, 0, 0.0177], [-1, 2, 0.0177], [2, -1, 0.0177], [-1, 1, 0.0177], [1, 0, 0.0177], [-1, 3, 0.0177], [-2, 2, 0.0177], [0, 1, 0.0177], [0, 0, 0.0177], [-1, 1, 0.0177], [2, 2, 0.0177], [3, 0, 0.0177], [1, 2, 0.0177], [1, 0, 0.0177], [1, 0, 0.0177], [-1, 1, 0.0177], [-1, 1, 0.0177], [0, 0, 0.0177], [-1, 1, 0.0177], [0, 0, 0.0177], [0, 0, 0.0177], [0, 0, 0.0177], [2, 2, 0.0177], [2, 0, 0.0177], [1, 1, 0.0177], [1, 1, 0.0177], [1, 0, 0.0177], [0, 0, 0.0177], [-2, 1, 0.0177], [0, 0, 0.0177], [0, -2, 0.0177], [-2, 1, 0.0177], [1, -1, 0.0177], [-1, 1, 0.0177], [-1, 0, 0.0177], [4, 1, 0.0177], [1, 0, 0.0177], [0, -2, 0.0177], [2, -1, 0.0177], [-1, 1, 0.0177], [1, 0, 0.0177], [-2, 0, 0.0177], [0, 0, 0.0177], [-1, 0, 0.0177], [0, 0, 0.0177], [0, -2, 0.0177], [-1, 1, 0.0177], [2, -1, 0.0177], [2, -1, 0.0177], [-1, 1, 0.0177], [1, -1, 0.0177], [1, 0, 0.0177], [0, 0, 0.0177], [-1, 0, 0.0177], [-1, 1, 0.0177], [-2, -2, 0.0177], [2, -1, 0.0177], [0, 0, 0.0177], [-2, 1, 0.0177], [-1, 1, 0.0177], [0, 0, 0.0177], [-1, 1, 0.0177], [0, 0, 0.0177], [0, 0, 0.0177], [-2, 0, 0.0177], [0, 0, 0.0177]] 

WEAPON: CAR | PATTERN: [[0, 3, 0.0263], [0, 3, 0.0263], [0, 3, 0.0263], [0, 6, 0.0263], [2, 1, 0.0263], [-2, 2, 0.0263], [0, 0, 0.0263], [2, 6, 0.0263], [2, 2, 0.0263], [-2, 2, 0.0263], [0, 2, 0.0263], [1, 5, 0.0263], [2, 1, 0.0263], [-1, 2, 0.0263], [-1, 2, 0.0263], [-2, 6, 0.0263], [1, 3, 0.0263], [-1, 1, 0.0263], [1, 0, 0.0263], [0, 6, 0.0263], [2, 2, 0.0263], [-1, 1, 0.0263], [2, -1, 0.0263], [-1, 5, 0.0263], [2, 2, 0.0263], [1, 1, 0.0263], [-2, 1, 0.0263], [5, 3, 0.0263], [1, 2, 0.0263], [-2, 2, 0.0263], [1, -1, 0.0263], [0, 4, 0.0263], [1, 2, 0.0263], [-1, 1, 0.0263], [-2, 1, 0.0263], [0, 1, 0.0263], [-2, 2, 0.0263], [0, 1, 0.0263], [0, 1, 0.0263], [0, 3, 0.0263], [0, 1, 0.0263], [0, 1, 0.0263], [-1, 1, 0.0263], [0, 1, 0.0263], [-2, 1, 0.0263], [0, -2, 0.0263], [-2, -2, 0.0263], [-1, -1, 0.0263], [-1, 0, 0.0263], [1, -1, 0.0263], [-2, 0, 0.0263], [-2, -1, 0.0263], [0, 0, 0.0263], [-1, 0, 0.0263], [0, 3, 0.0263], [1, 0, 0.0263], [-2, 2, 0.0263], [1, -1, 0.0263], [3, 5, 0.0263], [2, 0, 0.0263], [-1, 1, 0.0263]] 

WEAPON: Flatline | PATTERN: [[0, 2, 0.0168], [0, 2, 0.0168], [-2, 3, 0.0168], [-1, 1, 0.0168], [2, 1, 0.0168], [-4, 2, 0.0168], [2, 0, 0.0168], [1, 0, 0.0168], [2, 0, 0.0168], [-1, 1, 0.0168], [2, 0, 0.0168], [-2, 0, 0.0168], [1, 0, 0.0168], [1, 0, 0.0168], [2, 1, 0.0168], [-2, 1, 0.0168], [3, 0, 0.0168], [-2, 1, 0.0168], [0, 0, 0.0168], [2, 0, 0.0168], [2, 1, 0.0168], [-2, 1, 0.0168], [3, 0, 0.0168], [-1, 0, 0.0168], [0, 0, 0.0168], [3, 1, 0.0168], [-1, 3, 0.0168], [0, 3, 0.0168], [2, 0, 0.0168], [-3, 1, 0.0168], [2, 0, 0.0168], [0, 0, 0.0168], [1, 3, 0.0168], [-1, 1, 0.0168], [2, 1, 0.0168], [-1, 1, 0.0168], [0, 0, 0.0168], [1, 0, 0.0168], [0, 3, 0.0168], [-2, 1, 0.0168], [2, 0, 0.0168], [-1, 1, 0.0168], [-1, 0, 0.0168], [1, 0, 0.0168], [-5, -2, 0.0168], [-2, -1, 0.0168], [1, -1, 0.0168], [-2, 1, 0.0168], [2, -1, 0.0168], [0, 0, 0.0168], [-2, -1, 0.0168], [-1, 0, 0.0168], [1, 0, 0.0168], [-1, 0, 0.0168], [0, 0, 0.0168], [1, 0, 0.0168], [1, 2, 0.0168], [-4, 2, 0.0168], [2, 0, 0.0168], [-1, 0, 0.0168], [0, 0, 0.0168], [3, -1, 0.0168], [-5, -1, 0.0168], [0, 1, 0.0168], [2, 0, 0.0168], [-2, 1, 0.0168], [1, 0, 0.0168], [1, 0, 0.0168], [2, 1, 0.0168], [-2, 2, 0.0168], [4, -1, 0.0168], [-2, 1, 0.0168], [0, 0, 0.0168], [2, 0, 0.0168], [2, 2, 0.0168], [1, 1, 0.0168], [2, 1, 0.0168], [0, 0, 0.0168], [1, 0, 0.0168], [1, 0, 0.0168], [0, 0, 0.0168], [-2, 0, 0.0168], [2, 0, 0.0168], [-1, 0, 0.0168], [0, 0, 0.0168], [1, 0, 0.0168], [3, 0, 0.0168], [0, 0, 0.0168], [3, 0, 0.0168], [-1, 0, 0.0168], [0, 1, 0.0168], [1, 0, 0.0168], [2, 1, 0.0168], [-2, 1, 0.0168], [4, 0, 0.0168], [-1, 1, 0.0168], [-2, 0, 0.0168], [2, 0, 0.0168], [1, 1, 0.0168], [-2, 1, 0.0168], [2, 2, 0.0168], [-1, 0, 0.0168], [-1, 1, 0.0168], [2, 0, 0.0168], [2, 1, 0.0168], [-3, 0, 0.0168], [3, 1, 0.0168], [0, 0, 0.0168], [-2, 1, 0.0168], [3, -1, 0.0168], [2, 5, 0.0168], [-1, 2, 0.0168], [4, 0, 0.0168], [-2, 1, 0.0168], [1, 0, 0.0168], [1, 0, 0.0168], [3, 2, 0.0168], [-4, -3, 0.0168], [4, 0, 0.0168], [0, 0, 0.0168], [-2, 1, 0.0168], [2, 0, 0.0168], [0, 0, 0.0168], [-2, -3, 0.0168], [2, 0, 0.0168], [-1, 0, 0.0168], [-1, 0, 0.0168], [2, 0, 0.0168], [2, 2, 0.0168], [-2, 2, 0.0168], [1, 1, 0.0168], [1, 1, 0.0168], [-1, 0, 0.0168], [2, 0, 0.0168], [-2, 1, 0.0168], [-4, 0, 0.0168], [2, 0, 0.0168], [-2, 0, 0.0168], [-1, 0, 0.0168], [2, 1, 0.0168], [0, 1, 0.0168], [-5, 2, 0.0168], [2, 0, 0.0168], [-1, 0, 0.0168], [-1, 1, 0.0168], [2, 0, 0.0168], [-2, 2, 0.0168], [-4, 1, 0.0168], [2, 0, 0.0168], [-2, 0, 0.0168], [-2, 1, 0.0168], [2, 0, 0.0168], [-2, 0, 0.0168], [-4, 0, 0.0168], [-2, 0, 0.0168], [-1, 0, 0.0168], [-1, 0, 0.0168], [2, 0, 0.0168], [-2, -1, 0.0168], [-3, -1, 0.0168], [-2, 0, 0.0168], [2, -1, 0.0168], [-2, -3, 0.0168], [1, -3, 0.0168], [-2, 3, 0.0168], [-2, 0, 0.0168], [-2, 3, 0.0168], [-2, 3, 0.0168], [-2, 0, 0.0168], [-2, 0, 0.0168], [-2, 0, 0.0168], [-2, 0, 0.0168], [-2, 0, 0.0168], [-2, 0, 0.0168]] 

WEAPON: Lstar | PATTERN: [[0, 0, 0.0147], [3, -1, 0.0147], [1, 5, 0.0147], [2, 3, 0.0147], [-1, 4, 0.0147], [1, -2, 0.0147], [0, 0, 0.0147], [5, 4, 0.0147], [1, 2, 0.0147], [0, 0, 0.0147], [2, -2, 0.0147], [0, 1, 0.0147], [3, 0, 0.0147], [0, 0, 0.0147], [2, 4, 0.0147], [0, 5, 0.0147], [2, 2, 0.0147], [0, 1, 0.0147], [1, -2, 0.0147], [1, 2, 0.0147], [0, 5, 0.0147], [-1, 4, 0.0147], [1, -1, 0.0147], [-1, 2, 0.0147], [1, -2, 0.0147], [-1, 1, 0.0147], [-2, 4, 0.0147], [-1, 2, 0.0147], [0, -1, 0.0147], [-1, 2, 0.0147], [0, 0, 0.0147], [1, -2, 0.0147], [-2, 5, 0.0147], [0, 3, 0.0147], [0, 2, 0.0147], [-1, 3, 0.0147], [2, -5, 0.0147], [-1, 4, 0.0147], [0, 0, 0.0147], [0, 1, 0.0147], [0, 0, 0.0147], [1, -3, 0.0147], [0, 0, 0.0147], [0, 0, 0.0147], [-2, 5, 0.0147], [-1, 5, 0.0147], [0, 1, 0.0147], [0, 1, 0.0147], [0, 0, 0.0147], [1, 1, 0.0147], [0, 3, 0.0147], [0, 0, 0.0147], [1, -4, 0.0147], [0, 2, 0.0147], [0, -1, 0.0147], [0, 0, 0.0147], [-1, 4, 0.0147], [0, 0, 0.0147], [0, 1, 0.0147], [0, 2, 0.0147], [0, -2, 0.0147], [1, 5, 0.0147], [0, 1, 0.0147], [0, 3, 0.0147], [1, -2, 0.0147], [-1, 3, 0.0147], [1, -4, 0.0147], [-2, 5, 0.0147], [-1, 4, 0.0147], [1, -4, 0.0147], [-1, 5, 0.0147], [1, -2, 0.0147], [0, -1, 0.0147], [1, 2, 0.0147], [1, 5, 0.0147], [0, 1, 0.0147], [1, 0, 0.0147], [0, 1, 0.0147], [1, -2, 0.0147], [0, 0, 0.0147], [-1, 5, 0.0147], [-1, 3, 0.0147], [0, 0, 0.0147], [0, -2, 0.0147], [0, -1, 0.0147], [0, 0, 0.0147], [-2, 5, 0.0147], [0, -1, 0.0147], [0, 0, 0.0147], [0, 2, 0.0147], [0, -2, 0.0147], [1, -1, 0.0147], [0, 5, 0.0147], [0, 3, 0.0147], [1, -2, 0.0147], [0, 3, 0.0147], [0, 0, 0.0147], [1, -4, 0.0147], [-2, 5, 0.0147], [0, -1, 0.0147], [0, 2, 0.0147], [0, 2, 0.0147], [0, -3, 0.0147], [2, 4, 0.0147], [0, 2, 0.0147], [1, -3, 0.0147], [0, 2, 0.0147], [0, 0, 0.0147], [0, 0, 0.0147], [0, 0, 0.0147], [0, 2, 0.0147], [0, 1, 0.0147], [0, 0, 0.0147], [0, 2, 0.0147], [0, -1, 0.0147], [-2, 1, 0.0147], [-1, 2, 0.0147], [0, 0, 0.0147], [0, -3, 0.0147], [0, 1, 0.0147], [0, -1, 0.0147], [0, 1, 0.0147], [0, 3, 0.0147], [0, 2, 0.0147], [0, 0, 0.0147], [0, 2, 0.0147], [0, 0, 0.0147], [-1, 0, 0.0147], [-1, 4, 0.0147], [0, -4, 0.0147], [0, 0, 0.0147], [-1, 4, 0.0147], [0, -4, 0.0147], [-1, 1, 0.0147], [-1, 3, 0.0147], [0, 1, 0.0147], [0, 0, 0.0147], [0, 1, 0.0147], [0, -1, 0.0147], [1, -1, 0.0147], [0, 5, 0.0147], [1, 0, 0.0147], [0, 0, 0.0147], [0, 4, 0.0147], [0, 0, 0.0147], [0, 0, 0.0147], [0, 0, 0.0147], [2, 3, 0.0147], [1, -3, 0.0147], [0, 1, 0.0147], [0, 2, 0.0147], [0, -2, 0.0147], [0, 5, 0.0147], [1, -3, 0.0147], [0, 1, 0.0147], [0, 0, 0.0147], [0, 1, 0.0147], [-2, 5, 0.0147], [-1, 4, 0.0147], [0, 0, 0.0147], [0, -3, 0.0147], [0, 1, 0.0147], [0, -1, 0.0147], [1, 8, 0.0147], [1, 8, 0.0147], [1, 1, 0.0147], [0, 8, 0.0147], [0, 8, 0.0147], [0, 8, 0.0147]] 

WEAPON: P2020 | PATTERN: [[1, 10, 0.14], [1, 10, 0.14], [1, 10, 0.14], [1, 10, 0.14], [1, 10, 0.14], [1, 10, 0.14], [1, 10, 0.14], [1, 10, 0.14], [1, 10, 0.14], [1, 10, 0.14], [1, 10, 0.14], [1, 10, 0.14], [1, 5, 0.14], [1, 6, 0.14], [1, 6, 0.14], [2, 2, 0.14], [-3, 2, 0.14], [-1, 6, 0.14], [0, 4, 0.14], [1, 4, 0.14], [1, 4, 0.14]] 

